title,author,release_date,length
Twisted Games,Written by: Ana Huang,Release Date: 28-06-22,13 hrs and 14 mins
The Adventures of Tom Sawyer,Written by: Mark Twain,Release Date: 20-09-16,7 hrs and 52 mins
Baat Paise Ki,"Written by: Monika Halan, Mridula Halan",Release Date: 28-06-23,6 hrs and 48 mins
Jeevan Ek Ghorakh Dhanda Hai [Life Is a Tough Business],Written by: Om Swami,Release Date: 06-05-24,5 hrs and 42 mins
Forbidden Desires,Written by: Madhuri Banerjee,Release Date: 01-01-17,7 hrs and 53 mins
The Emperor's Soul [Dramatized Adaptation],Written by: Brandon Sanderson,Release Date: 07-10-20,3 hrs and 31 mins
The Buddha Said,Written by: Osho,Release Date: 28-07-16,35 hrs and 57 mins
No More Mr. Nice Guy,Written by: Dr Robert Glover,Release Date: 21-12-17,6 hrs and 49 mins
Ghost Stories of Shimla Hills,Written by: Minakshi Chaudhry,Release Date: 01-01-17,3 hrs and 31 mins
Kurma Puran (Hindi Edition),Written by: Dr. Vinay,Release Date: 19-07-21,6 hrs
Being Different,Written by: Rajiv Malhotra,Release Date: 13-06-18,17 hrs and 31 mins
The Fish in the Sea Is Not Thirsty,Written by: Osho,Release Date: 30-11-17,26 hrs and 4 mins
Essential CISSP Exam Guide: Updated for the 2018 CISSP Body of Knowledge,Written by: Phil Martin,Release Date: 17-10-18,17 hrs
Tales of Fosterganj,Written by: Ruskin Bond,Release Date: 01-01-17,3 hrs and 11 mins
The Ragpicker King,Written by: Cassandra Clare,Release Date: 04-03-25,21 hrs and 9 mins
Swami Vivekananda,Written by: Gautam Ghosh,Release Date: 01-11-18,6 hrs and 52 mins
Seatmate,Written by: Cara Bastone,Release Date: 24-03-22,5 hrs and 10 mins
Shyamchi Aai (Marathi Edition),Written by: Sane Guruji,Release Date: 06-12-24,9 hrs and 6 mins
The Complete Infidel's Guide to the Koran,Written by: Robert Spencer,Release Date: 30-11-09,7 hrs and 56 mins
Aavarana,"Written by: Sandeep Balakrishna - translator, S. L. Bhyrappa",Release Date: 01-01-17,14 hrs and 20 mins
Karma Bhoomi [Land of Work],Written by: Premchand,Release Date: 15-06-22,12 hrs and 52 mins
The Mysterious Affair at Styles,"Written by: Agatha Christie, Anna Lea - adaptation",Release Date: 14-11-24,3 hrs and 53 mins
Arabian Nights: Volume 2,Written by: Marty Ross,Release Date: 18-12-18,5 hrs and 43 mins
Garbha Sanskar (Hindi Edition),Written by: A Happy Thoughts Initiative,Release Date: 26-02-25,8 hrs and 38 mins
The Path of Love,Written by: Osho,Release Date: 01-03-16,14 hrs and 40 mins
Get Organized: Do More in Less Time,"Written by: Ciara Conlon, The Great Courses",Release Date: 21-01-20,4 hrs and 45 mins
F.U. Money,Written by: Dan Lok,Release Date: 27-12-15,4 hrs and 50 mins
Mistletoe Murders 2,Written by: Ken Cuperus,Release Date: 08-11-23,4 hrs and 30 mins
Charitra (Hindi),Written by: OSHO,Release Date: 01-03-16,1 hr and 42 mins
ColdFusion Presents,Written by: Dagogo Altraide,Release Date: 26-02-19,11 hrs and 38 mins
Aghori,Written by: Kevin Missal,Release Date: 12-02-25,8 hrs and 32 mins
The Third Eye (Hindi Edition),Written by: T. Lobsang Rampa,Release Date: 12-08-24,11 hrs and 47 mins
Everblaze,Written by: Shannon Messenger,Release Date: 06-11-18,14 hrs and 39 mins
Everything Is F--ked (Hindi Edition),Written by: Mark Manson,Release Date: 29-09-23,9 hrs and 58 mins
Sons of Fortune,Written by: Jeffrey Archer,Release Date: 03-12-21,16 hrs and 9 mins
Reaper's Gale,Written by: Steven Erikson,Release Date: 03-01-19,43 hrs and 56 mins
Roohi - Ek Paheli (Hindi Edition),Written by: Manish Shrivastava,Release Date: 18-01-19,7 hrs and 15 mins
Artificial Intelligence,"Written by: Harvard Business Review, Thomas H Davenport, Erik Brynjolfsson, Andrew McAfee, H. James Wilson",Release Date: 17-09-19,3 hrs and 31 mins
"Behind the Woods, Episode 1-62 (Hindi Edition)","Written by: Astha Jain, Anas Mohammad",Release Date: 25-11-24,20 hrs and 47 mins
Kya Kahate Hain Puran [What Purana Said],"Written by: Mahesh Sharma, P. Bhalla",Release Date: 19-07-21,9 hrs and 25 mins
Power of Confidence (Marathi Edition),Written by: Manoj Ambike,Release Date: 10-03-23,4 hrs and 42 mins
Endymion,Written by: Dan Simmons,Release Date: 20-01-09,23 hrs and 17 mins
Six Battles for India,Written by: George Bruce,Release Date: 30-06-22,11 hrs and 57 mins
A Wizard's Guide to Defensive Baking,Written by: T. Kingfisher,Release Date: 12-10-21,8 hrs and 30 mins
Ponniyin Selvan,Written by: Kalki,Release Date: 08-03-23,61 hrs and 52 mins
Best of Faiz (Hindi Edition),Written by: Kuldip Salil,Release Date: 20-01-22,2 hrs and 17 mins
The Let Them Theory,Written by: Mel Robbins,Release Date: 24-12-24,10 hrs and 38 mins
One Arranged Murder,Written by: Chetan Bhagat,Release Date: 27-09-20,7 hrs and 58 mins
Body by Science,"Written by: Doug McGuff MD, John Little",Release Date: 13-08-19,9 hrs and 1 min
Impact Winter,Written by: Travis Beacham,Release Date: 17-02-22,4 hrs and 55 mins
Rise of Empire,Written by: Michael J. Sullivan,Release Date: 09-05-12,26 hrs and 27 mins
CompTIA Security+ All-in-One Exam Guide Exam SY0-601 (Sixth Edition),"Written by: Wm. Arthur Conklin, Greg White",Release Date: 30-05-23,30 hrs and 40 mins
The 10X Rule,Written by: Grant Cardone,Release Date: 19-07-11,7 hrs and 24 mins
The Storm Before the Storm,Written by: Mike Duncan,Release Date: 24-10-17,10 hrs and 13 mins
Kulfi and Cappuccino (Hindi Edition),Written by: Ashish Chaudhary,Release Date: 24-10-18,9 hrs and 32 mins
Maine Gandhi Ko Kyon Mara? (Hindi Edition),Written by: Nathuram Godse,Release Date: 02-10-24,7 hrs and 23 mins
These Strange New Minds,Written by: Christopher Summerfield,Release Date: 06-03-25,12 hrs and 34 mins
The Soul of a New Machine,Written by: Tracy Kidder,Release Date: 17-05-16,9 hrs and 3 mins
No Excuses: Existentialism and the Meaning of Life,"Written by: Robert C. Solomon, The Great Courses",Release Date: 08-07-13,12 hrs and 7 mins
Sweet Spot,Written by: Stella Rhys,Release Date: 28-11-17,8 hrs and 12 mins
Nero,Written by: S.J. Tilly,Release Date: 22-08-23,10 hrs and 38 mins
Meri Jeewan Gatha [My Life Story],Written by: R. K. Narayan,Release Date: 17-06-20,7 hrs and 30 mins
Do It Now: Overcoming Procrastination,"Written by: Fuschia Sirois, The Great Courses",Release Date: 02-09-21,4 hrs and 11 mins
"Harry Potter and the Chamber of Secrets, Book 2",Written by: J.K. Rowling,Release Date: 20-11-15,9 hrs and 43 mins
A Million Thoughts,Written by: Om Swami,Release Date: 26-11-24,9 hrs and 12 mins
The Graveyard Book,Written by: Neil Gaiman,Release Date: 30-10-08,7 hrs and 43 mins
The Little Book of Trading,Written by: Michael Covel,Release Date: 22-09-11,4 hrs and 38 mins
Biology: The Science of Life,"Written by: Stephen Nowicki, The Great Courses",Release Date: 08-07-13,36 hrs and 38 mins
The 6 Habits of Growth,Written by: Brendon Burchard,Release Date: 15-09-22,5 hrs and 4 mins
The Leadership Sutra,Written by: Devdutt Pattanaik,Release Date: 24-01-17,2 hrs and 39 mins
Himalaya,Written by: John Keay,Release Date: 13-10-22,15 hrs and 4 mins
Utsav Amar Jati Anand Amar Gotra,Written by: OSHO,Release Date: 26-05-17,17 hrs and 51 mins
"Take Me, Daddy",Written by: Sara Fields,Release Date: 07-11-23,7 hrs and 30 mins
Those Who Leave and Those Who Stay,Written by: Elena Ferrante,Release Date: 15-05-15,16 hrs and 43 mins
30 Din Mein Bane Share market Mein Safal Niveshak [Become a Successful Investor in Share Market in 30 Days],Written by: Amol Gandhi,Release Date: 19-07-21,4 hrs
The Chekhov Collection of Short Stories,Written by: Anton Chekhov,Release Date: 11-06-20,6 hrs and 50 mins
The Magic of Thinking Big (Tamil Edition),Written by: David Schwartz,Release Date: 25-11-22,11 hrs and 58 mins
The Ultimate Brian Tracy Library,Written by: Brian Tracy,Release Date: 30-04-18,16 hrs and 23 mins
The Mystery of Alice,Written by: Lee Bacon,Release Date: 02-05-19,6 hrs and 24 mins
P.G. Wodehouse Volume 1,Written by: P.G. Wodehouse,Release Date: 17-12-20,40 hrs and 37 mins
Knocked Up by the CEO,Written by: Lilian Monroe,Release Date: 29-10-19,5 hrs and 44 mins
Beren and Lúthien,"Written by: Christopher Tolkien, J. R. R. Tolkien",Release Date: 30-04-20,6 hrs and 54 mins
Vivekananda,Written by: Pranay,Release Date: 22-07-21,3 hrs and 12 mins
Psychology for Dummies (3rd Edition),Written by: Adam Cash PsyD,Release Date: 10-11-20,18 hrs and 24 mins
Aahuti [Sacrifice],Written by: Saurabh Kudesia,Release Date: 07-11-24,10 hrs and 47 mins
The Turn of the Screw,Written by: Henry James,Release Date: 15-03-16,4 hrs and 40 mins
A Murder to Remember,Written by: Brynn Kelly,Release Date: 29-02-24,10 hrs and 3 mins
Haunting Adeline (German Edition),Written by: H. D. Carlton,Release Date: 04-03-25,18 hrs and 34 mins
Lokpriya Kahaniyan [Popular Stories],Written by: Subhadra Kumari Chauhan,Release Date: 02-06-23,6 hrs and 39 mins
101 Essays That Will Change the Way You Think,Written by: Brianna Wiest,Release Date: 21-08-18,10 hrs and 45 mins
Darkness on the Fens,Written by: Joy Ellis,Release Date: 16-09-19,10 hrs and 22 mins
Age of Myth [Dramatized Adaptation],Written by: Michael J. Sullivan,Release Date: 03-01-22,11 hrs and 26 mins
Hunchback,Written by: Saou Ichikawa,Release Date: 06-03-25,1 hr and 59 mins
Tell No One,Written by: Harlan Coben,Release Date: 01-04-22,10 hrs and 34 mins
Gunahon ka Devta (Hindi Edition),"Written by: धर्मवीर भारती, Dharmveer Bharti",Release Date: 27-12-24,9 hrs and 15 mins
Healing Your Emotional Self,Written by: Beverly Engel,Release Date: 09-07-20,8 hrs and 51 mins
Fear,Written by: Thich Nhat Hanh,Release Date: 26-08-21,4 hrs and 24 mins
Aastik Aur Nastik (Hindi),Written by: OSHO,Release Date: 01-03-16,1 hr and 26 mins
Economics: Making sense of the Modern Economy,Written by: Saguao Datta - editor,Release Date: 06-08-13,12 hrs and 50 mins
He Who Fights with Monsters 4,"Written by: Shirtaloon, Travis Deverell",Release Date: 28-12-21,22 hrs and 20 mins
Interpreter of Maladies,Written by: Jhumpa Lahiri,Release Date: 29-01-07,6 hrs and 15 mins
Prem Ka Arth (Hindi),Written by: OSHO,Release Date: 01-03-16,1 hr and 49 mins
Resilience,Written by: Harvard Business Review,Release Date: 22-12-20,2 hrs and 4 mins
The End of Mental Illness,Written by: Daniel G. Amen,Release Date: 12-03-20,13 hrs and 37 mins
Heads You Win,Written by: Jeffrey Archer,Release Date: 01-11-18,15 hrs and 54 mins
Rangbhoomi (Hindi Edition),Written by: Munshi Premchand,Release Date: 21-10-24,26 hrs and 13 mins
Red Circle Society (Hindi Edition),Written by: Surender Mohan Pathak,Release Date: 23-05-24,3 hrs and 15 mins
The Ancient Science of Mantras,Written by: Om Swami,Release Date: 25-11-24,13 hrs and 12 mins
Network Effect,Written by: Martha Wells,Release Date: 05-05-20,12 hrs and 47 mins
The X Ingredient,Written by: Roslyn Sinclair,Release Date: 28-01-20,11 hrs and 7 mins
Chandpur Ki Chanda (Hindi Edition),Written by: Atul Kumar Rai,Release Date: 07-02-24,11 hrs and 57 mins
More of Poirot's Finest Cases,Written by: Agatha Christie,Release Date: 02-11-17,13 hrs and 27 mins
Atomic Habits (Marathi Edition),Written by: James Clear,Release Date: 27-02-25,9 hrs and 4 mins
"Harry Potter and the Prisoner of Azkaban, Book 3",Written by: J.K. Rowling,Release Date: 20-11-15,12 hrs and 3 mins
The Life of the Buddha,Written by: Bhikkhu Ñanamoli,Release Date: 22-07-16,16 hrs and 5 mins
Ecstasy: The Forgotten Language,Written by: Osho,Release Date: 30-06-20,15 hrs and 15 mins
1984 (Hindi Edition),Written by: George Orwell,Release Date: 26-10-21,13 hrs and 51 mins
30 Days to a More Powerful Business Vocabulary,Written by: Dan Strutzel,Release Date: 19-01-21,5 hrs and 16 mins
That Night (Hindi Edition),Written by: Nidhi Upadhyay,Release Date: 22-08-23,7 hrs and 46 mins
He Who Fights with Monsters 3,"Written by: Shirtaloon, Travis Deverell",Release Date: 07-09-21,24 hrs and 39 mins
Mere Priya Aatman (Hindi Edition),Written by: Sushobhit,Release Date: 12-11-24,6 hrs and 29 mins
"Harry Potter and the Deathly Hallows, Book 7",Written by: J.K. Rowling,Release Date: 20-11-15,23 hrs and 59 mins
Mad Love,Written by: Wendy Walker,Release Date: 09-05-24,4 hrs and 11 mins
Oru Yogiyin Suyasaritham [Autobiography of a Yogi],Written by: Paramahansa Yogananda,Release Date: 27-12-23,22 hrs and 48 mins
Cat Among the Pigeons,Written by: Agatha Christie,Release Date: 03-07-12,6 hrs and 45 mins
Manusmriti (Hindi Edition),"Written by: Vidya Vihar, Manu",Release Date: 28-11-24,23 hrs and 41 mins
Our Mathematical Universe,Written by: Max Tegmark,Release Date: 07-01-14,15 hrs and 22 mins
Warbreaker (Dramatized Adaptation),Written by: Brandon Sanderson,Release Date: 11-08-21,17 hrs and 50 mins
Gora [Blonde],Written by: Ravindranath Tagore,Release Date: 15-06-22,19 hrs and 15 mins
Peppa Pig: Play Days,Written by: Ladybird,Release Date: 22-02-18,40 mins
Adultery (Hindi Edition),"Written by: Paulo Coelho, Anu Singh - translator",Release Date: 25-02-20,7 hrs and 38 mins
The YouTube Formula,"Written by: Derral Eves, ""Mr. Beast"" Jimmy Donaldson - foreword",Release Date: 26-04-22,10 hrs and 3 mins
Dharmayoddha Kalki: Avatar of Vishnu (Hindi Edition),Written by: Kevin Missal,Release Date: 28-10-24,16 hrs and 47 mins
Learning to Flourish in the Age of AI,Written by: Stephen M. Kosslyn,Release Date: 11-03-25,8 hrs and 10 mins
11 Rules for Life,Written by: Chetan Bhagat,Release Date: 16-07-24,4 hrs and 39 mins
Good to Great,Written by: Jim Collins,Release Date: 22-10-20,9 hrs and 58 mins
Nutrition Made Clear,"Written by: Roberta H. Anding, The Great Courses",Release Date: 08-07-13,18 hrs and 39 mins
Magic Tree House Collection: Books 9-16,Written by: Mary Pope Osborne,Release Date: 24-08-11,5 hrs and 23 mins
A History of the World in 6 Glasses,Written by: Tom Standage,Release Date: 18-03-11,7 hrs and 34 mins
Adarsh (Hindi),Written by: OSHO,Release Date: 01-03-16,1 hr and 41 mins
Holmes Is Missing,Written by: James Patterson,Release Date: 02-01-25,8 hrs and 26 mins
The Law of Attraction Audio Collection,Written by: Esther Hicks,Release Date: 25-01-22,14 hrs and 28 mins
Take It Easy,Written by: Osho,Release Date: 13-01-22,44 hrs and 25 mins
Dare Me,Written by: Stella Rhys,Release Date: 30-10-18,8 hrs and 47 mins
Oka Yogi Atma Katha [Autobiography of a Yogi],Written by: Paramahansa Yogananda,Release Date: 16-02-24,23 hrs and 25 mins
Ikigai for Young Readers (Hindi Edition),"Written by: Hector Garcia, Fransesc Miralles",Release Date: 14-12-22,3 hrs and 48 mins
The 12-Week Fitness Project (Hindi Edition),Written by: Rujuta Diwekar,Release Date: 19-07-23,3 hrs and 29 mins
Autobiography of a Yogi,Written by: Paramhansa Yogananda,Release Date: 01-01-08,21 hrs and 33 mins
Addicted to Anxiety,Written by: Owen O'Kane,Release Date: 20-02-25,5 hrs and 32 mins
The Easy Way to Mindfulness,Written by: Allen Carr,Release Date: 15-11-17,5 hrs and 56 mins
Antaryatra Ke Sutra (Hindi),Written by: OSHO,Release Date: 01-03-16,1 hr and 29 mins
Sweet Talk,Written by: Cara Bastone,Release Date: 22-04-21,5 hrs and 42 mins
Mind Full to Mindful,Written by: Om Swami,Release Date: 22-10-24,4 hrs and 4 mins
"The Ultimate Classics Collection – Volume One: 15 Novels from Dostoyevsky, Dickens, Tolstoy, Melville, Brontë, & More","Written by: Arthur Conan Doyle, Fyodor Dostoyevsky, Leo Tolstoy, Charles Dickens, Jack London, Anthony Trollope, Herman Melville, Anton Chekhov, Emily Brontë, George Eliot, Franz Kafka",Release Date: 24-02-25,272 hrs and 9 mins
"Summary of Rich Dad, Poor Dad (Tamil Edition)",Written by: Logesh Kumar K.,Release Date: 11-08-23,28 mins
The Bed of Procrustes,Written by: Nassim Nicholas Taleb,Release Date: 30-12-10,1 hr and 41 mins
Summary of Emotional Intelligence (Hindi Edition),Written by: Priyanka Pareek,Release Date: 13-12-23,29 mins
A Fistful of Wisdom,Written by: Om Swami,Release Date: 12-11-24,6 hrs and 18 mins
As a Man Thinketh (Hindi Edition),Written by: James Allen,Release Date: 15-12-23,1 hr and 9 mins
Toll the Hounds,Written by: Steven Erikson,Release Date: 03-01-19,44 hrs
Robot Dreams,Written by: Isaac Asimov,Release Date: 29-09-14,14 hrs and 34 mins
R.D. Burman,"Written by: Balaji Vittal, Anirudha Bhattacharjee",Release Date: 22-06-22,14 hrs and 3 mins
Top Secret (Hindi Edition),Written by: Surender Mohan Pathak,Release Date: 23-05-24,7 hrs and 40 mins
Kamal Haasan,Written by: K. Hariharan,Release Date: 09-07-24,10 hrs and 17 mins
Falling in Love Again,Written by: Ruskin Bond,Release Date: 01-02-17,5 hrs and 32 mins
"Walk Without Feet, Fly Without Wings and Think Without Mind",Written by: Osho,Release Date: 30-11-17,13 hrs and 52 mins
Ghosts of the Silent Hills,Written by: Anita Krishan,Release Date: 25-10-22,9 hrs and 54 mins
Rock Hard,Written by: Nalini Singh,Release Date: 26-05-15,10 hrs and 23 mins
The Nuremberg Trial,"Written by: John Tusa, Ann Tusa",Release Date: 15-02-13,25 hrs and 45 mins
This Inevitable Ruin,Written by: Matt Dinniman,Release Date: 11-02-25,28 hrs and 40 mins
The Power of One Thought,Written by: B.K. Shivani,Release Date: 26-09-24,9 hrs and 13 mins
Rejection Proof,Written by: Jia Jiang,Release Date: 28-05-24,5 hrs and 55 mins
The Psychology of Happiness,Written by: Jaime Kurtz,Release Date: 19-01-21,4 hrs and 48 mins
The Subtle Art of Not Giving a F--k (Marathi Edition),Written by: Mark Manson,Release Date: 09-11-23,7 hrs and 34 mins
Krishna’s Conquests,Written by: Shobha Viswanath,Release Date: 31-03-20,23 mins
Maddox,Written by: Melanie Moreland,Release Date: 21-08-18,7 hrs and 32 mins
Indian Philosophy,Written by: Sue Hamilton,Release Date: 01-06-21,4 hrs and 34 mins
Naqaab,Written by: J. P. Pomare,Release Date: 11-08-22,7 hrs and 56 mins
Freud Manovishleshan [Freud Psychoanalysis],Written by: Sigmund Freud,Release Date: 20-01-22,20 hrs and 13 mins
Ati Prabhavkari Logon ki 7 Aadatein [7 Habits of Highly Effective People],Written by: Stephen R. Covey,Release Date: 13-09-19,16 hrs and 4 mins
The Elephant in the Brain,"Written by: Kevin Simler, Robin Hanson",Release Date: 25-09-18,10 hrs and 26 mins
Atomic Habits,Written by: James Clear,Release Date: 18-10-18,5 hrs and 35 mins
Ruthless Consistency,Written by: Michael Canic,Release Date: 14-07-21,6 hrs and 11 mins
Our Infinite Fates,Written by: Laura Steven,Release Date: 27-02-25,11 hrs and 12 mins
Rapunzel,Written by: The Brothers Grimm,Release Date: 04-10-12,13 mins
You're It!,Written by: Alan Watts,Release Date: 15-01-10,12 hrs and 5 mins
Jeevan Jine Ki Kala,Written by: Anand Satyarthi,Release Date: 19-07-21,5 hrs and 14 mins
Railampel (Hindi Edition),"Written by: Nilotpal Mrinal, Hind Yugm",Release Date: 21-11-24,3 hrs and 3 mins
80 Din Mein Duniya Ki Sair [Around the World in 80 Days],Written by: Jules Verne,Release Date: 22-04-22,2 hrs and 8 mins
Garron Park,Written by: Nordika Night,Release Date: 18-03-25,7 hrs and 8 mins
Take Control of Your Life,Written by: Mel Robbins,Release Date: 07-02-19,10 hrs and 3 mins
Esther & Jerry Hicks: The Law of Attraction (Hindi Edition),"Written by: Esther Hicks, Jerry Hicks",Release Date: 05-11-24,7 hrs and 23 mins
Master Your Focus,Written by: Thibaut Meurisse,Release Date: 08-10-20,3 hrs and 58 mins
